,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
0,Cleveland Cavaliers,CLE,2021,129666274,270.97,641,240.9774436,253280.44044558637
1,Cleveland Cavaliers,CLE,2020,95972309,258.811,792,297.7443609,172439.82493458362
2,Cleveland Cavaliers,CLE,2019,129260620,255.657,876,329.3233083,220965.76272052948
3,Cleveland Cavaliers,CLE,2018,122168064,251.107,801,301.1278195,221224.84799240372
4,Cleveland Cavaliers,CLE,2017,135777082,245.12,737,277.0676692,260015.871703774
5,Cleveland Cavaliers,CLE,2016,125132604,240.007,587,220.6766917,271623.68943046307
6,Cleveland Cavaliers,CLE,2015,106997466,237.017,518,194.7368421,247820.53004919863
7,Cleveland Cavaliers,CLE,2014,80811761,236.736,479,180.075188,193880.97854993277
8,Cleveland Cavaliers,CLE,2013,66063984,232.957,456,171.4285714,163368.79619933938
9,Cleveland Cavaliers,CLE,2012,49406697,229.594,368,138.3458647,134279.27153336263
10,Cleveland Cavaliers,CLE,2011,48030927,224.939,396,148.8721805,128489.80850640984
