,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
0,Dallas Mavericks,DAL,2021,117318978,270.97,641,240.9774436,229162.15222214264
1,Dallas Mavericks,DAL,2020,124194840,258.811,792,297.7443609,223149.12176780723
2,Dallas Mavericks,DAL,2019,117553325,255.657,876,329.3233083,200952.61897211455
3,Dallas Mavericks,DAL,2018,74347737,251.107,801,301.1278195,134630.65778307014
4,Dallas Mavericks,DAL,2017,78243993,245.12,737,277.0676692,149838.8369067984
5,Dallas Mavericks,DAL,2016,93538029,240.007,587,220.6766917,203041.7631126229
6,Dallas Mavericks,DAL,2015,71198732,237.017,518,194.7368421,164905.84462131877
7,Dallas Mavericks,DAL,2014,72183738,236.736,479,180.075188,173180.9031959094
8,Dallas Mavericks,DAL,2013,68057497,232.957,456,171.4285714,168298.52945638506
9,Dallas Mavericks,DAL,2012,58996275,229.594,368,138.3458647,160342.16637031882
10,Dallas Mavericks,DAL,2011,74325300,224.939,396,148.8721805,198831.1315370087
