Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
Denver Nuggets,DEN,2021,135863002,270.97,641,240.9774436,265384.6673
Denver Nuggets,DEN,2020,126468408,258.811,792,297.7443609,227234.1925
Denver Nuggets,DEN,2019,128643401,255.657,876,329.3233083,219910.652
Denver Nuggets,DEN,2018,116453842,251.107,801,301.1278195,210877.3983
Denver Nuggets,DEN,2017,101779153,245.12,737,277.0676692,194909.1467
Denver Nuggets,DEN,2016,78416141,240.007,587,220.6766917,170216.8807
Denver Nuggets,DEN,2015,60186706,237.017,518,194.7368421,139400.5105
Denver Nuggets,DEN,2014,53359369,236.736,479,180.075188,128018.0824
Denver Nuggets,DEN,2013,65379734,232.957,456,171.4285714,161676.723
Denver Nuggets,DEN,2012,63970222,229.594,368,138.3458647,173860.5357
Denver Nuggets,DEN,2011,52473071,224.939,396,148.8721805,140373.1984
