,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll
0,Oklahoma City Thunder,OKC,2021,47135212,270.97,641,240.9774436,92070.41189335083
1,Oklahoma City Thunder,OKC,2020,59343071,258.811,792,297.7443609,106625.6390092747
2,Oklahoma City Thunder,OKC,2019,131847446,255.657,876,329.3233083,225387.8363583884
3,Oklahoma City Thunder,OKC,2018,138111761,251.107,801,301.1278195,250096.07529827266
4,Oklahoma City Thunder,OKC,2017,130477891,245.12,737,277.0676692,249867.8132325381
5,Oklahoma City Thunder,OKC,2016,87418324,240.007,587,220.6766917,189757.8003627863
6,Oklahoma City Thunder,OKC,2015,93765298,237.017,518,194.7368421,217173.04829051805
7,Oklahoma City Thunder,OKC,2014,77876390,236.736,479,180.075188,186838.5308313749
8,Oklahoma City Thunder,OKC,2013,70488245,232.957,456,171.4285714,174309.49565279172
9,Oklahoma City Thunder,OKC,2012,68057854,229.594,368,138.3458647,184970.04681863167
10,Oklahoma City Thunder,OKC,2011,56856253,224.939,396,148.8721805,152098.8562299035
