,Team,Code,Year,Payroll,Annual,Revenue,Index,Adjusted_Payroll,Adj_Payroll_Avg
0,Washington Wizards,WAS,2021,126147247,270.97,641,240.9774436,246406.6352,245773.8043
1,Washington Wizards,WAS,2020,126243515,258.811,792,297.7443609,226830.1123,214094.5081
2,Washington Wizards,WAS,2019,87153787,255.657,876,329.3233083,148985.8475,195822.891
3,Washington Wizards,WAS,2018,115917170,251.107,801,301.1278195,209905.5798,193132.0201
4,Washington Wizards,WAS,2017,122840421,245.12,737,277.0676692,235241.903,197099.9609
5,Washington Wizards,WAS,2016,101659831,240.007,587,220.6766917,220671.6514,199784.2533
6,Washington Wizards,WAS,2015,76328636,237.017,518,194.7368421,176787.3926,166383.5677
7,Washington Wizards,WAS,2014,72952787,236.736,479,180.075188,175025.9808,155269.4738
8,Washington Wizards,WAS,2013,63807197,232.957,456,171.4285714,157788.016,156456.4108
9,Washington Wizards,WAS,2012,57506990,229.594,368,138.3458647,156294.5348,174126.9676
10,Washington Wizards,WAS,2011,66770575,224.939,396,148.8721805,178621.1287,161738.1226
